gene_id,class,toxin_family,JLS178,JLS181,JLS187,JLS202,JLS216,JLS223,JLS224,JLS228,JLS242,JLS247,JLS248,JLS249,JLS253,JLS254,JLS255,JLS256,JLS257,JLS260,JLS269,Average,Female_Average,Male_Average
trinityContig10327||sp|P35467.3|,Nontoxin,Nontoxin,5.91,5.05,10.91,0,3.95,2.77,1.95,23.82,0,7.02,0,11.7,2.44,11.36,18.2,3.65,6.13,6.85,1.86,6.503684211,5.625,7.48
trinityContig10356||sp|Q56K13.1|,Nontoxin,Nontoxin,174.36,48.09,164.24,142.62,91.78,128.59,101.62,88.34,41.19,86.94,129.58,60.39,66.48,82.07,54.36,62.09,147.9,75.69,38.31,93.92842105,108.532,77.7022222
trinityContig10402||sp|Q5PPI3.1|,Nontoxin,Nontoxin,12.89,16.1,22.65,29.9,29.44,5.89,26.07,32.42,18.04,18.98,34.31,20.54,22.34,9.79,12.84,11.51,16.35,49.47,11.9,21.12789474,24.209,17.7044444
trinityContig10418||sp|Q86XI6.1|,Nontoxin,Nontoxin,17.55,13.62,27.82,15.79,22.67,1.51,34.06,30.07,18.51,31.72,24.95,30.18,10.32,2.22,7.59,7.83,25.32,4.79,17.14,18.08736842,17.394,18.8577778
trinityContig10423||sp|Q9NRA2.2|,Nontoxin,Nontoxin,26.34,36.33,18.16,27.92,26.24,16.04,16.37,24.8,17.43,21.4,16.43,28.05,16.13,6.59,7.96,16.12,19.97,18.83,18,19.95315789,19.598,20.3477778
trinityContig10453||sp|B5FYY5.1|,Nontoxin,Nontoxin,0,16.15,12.21,0,125.98,0,0,0,135.25,90.76,29.28,0,23.47,0,12.25,0,22.89,146.25,0,32.34157895,37.233,26.9066667
trinityContig10468||sp|Q2HJJ1.1|,Nontoxin,Nontoxin,130.52,166.03,138.44,144.17,75.94,118.81,193.71,144.08,148.9,127.16,123.14,142.26,154.23,149.43,235.26,105.62,195.88,230.37,137.01,150.5768421,156.496,144
trinityContig10470||sp|O13035.1|,Nontoxin,Nontoxin,153.47,83.16,151.18,177.66,133.57,17.57,153.49,117.97,107.94,161.77,252.2,198.53,72.31,23.68,42.65,81.95,132.48,92.69,91.2,118.1826316,129.941,105.117778
trinityContig10486||sp|Q8TCT9.1|,Nontoxin,Nontoxin,376.36,111.12,292.65,0,13.53,16.34,25.88,344.74,11.9,49.41,291.46,153.42,217.08,9.6,20.72,1.44,83.85,84.6,169.96,119.6873684,155.021,80.4277778
trinityContig10495||sp|Q2KI84.1|,Nontoxin,Nontoxin,23.15,15.35,16.66,28.37,19.07,16.16,22.78,24.76,27.87,29.03,36.21,27.05,22,25.24,18.31,19.12,15.38,44.08,19.69,23.69894737,24.292,23.04
trinityContig10518||sp|Q9Y619.1|,Nontoxin,Nontoxin,22.08,25.74,17.76,19.96,33.07,35.94,49.44,25.97,40.68,30.94,60.78,21.21,26.33,18.88,24.26,24.13,20.14,29.24,27.32,29.15105263,28.094,30.3255556
trinityContig10582||sp|Q17Q87.1|,Nontoxin,Nontoxin,5.2,0,0,3.71,9.43,9.25,8.71,0,0,17.64,2.25,0,3.93,0,4.24,5.15,0,4.09,6.59,4.220526316,3.944,4.52777778
trinityContig10595||sp|P07741.2|,Nontoxin,Nontoxin,406.19,157.54,1588.47,434.56,751.16,227.65,149.94,526.34,443.27,753.2,441.33,516.82,149.13,189.74,346.91,350.95,973.15,34.24,777.72,485.1742105,590.286,368.383333
trinityContig10660||sp|Q8QGH2.1|,Nontoxin,Nontoxin,70.98,52.04,144.82,103.01,80.63,26.07,32.47,92.16,96.51,82.74,89.12,86.27,85.76,43.47,30.07,59.33,121.75,273.37,64.6,86.06157895,106.411,63.4511111
trinityContig10691||sp|P01116.1|,Nontoxin,Nontoxin,7.77,0,18.64,8.73,26.06,2.74,13.55,14.72,6.42,12.2,7.91,1.69,6.01,1.59,11.5,20.46,5.85,6.14,7.4,9.441052632,10.601,8.15222222
